rule,component,line,message,severity,type
java:S1481,service/src/main/java/org/whispersystems/textsecuregcm/workers/DeleteUserCommand.java,169,"Remove this unused ""prohibitedUsernames"" local variable.",MINOR,CODE_SMELL
java:S1854,service/src/main/java/org/whispersystems/textsecuregcm/workers/SetUserDiscoverabilityCommand.java,172,"Remove this useless assignment to local variable ""prohibitedUsernames"".",MAJOR,CODE_SMELL
java:S1481,service/src/main/java/org/whispersystems/textsecuregcm/workers/SetUserDiscoverabilityCommand.java,172,"Remove this unused ""prohibitedUsernames"" local variable.",MINOR,CODE_SMELL
java:S1128,service/src/main/java/org/whispersystems/textsecuregcm/auth/AccountAuthenticator.java,10,Remove this unused import 'org.whispersystems.textsecuregcm.experiment.ExperimentEnrollmentManager'.,MINOR,CODE_SMELL
java:S1128,service/src/main/java/org/whispersystems/textsecuregcm/auth/DisabledPermittedAccountAuthenticator.java,11,Remove this unused import 'org.whispersystems.textsecuregcm.experiment.ExperimentEnrollmentManager'.,MINOR,CODE_SMELL
java:S1874,service/src/main/java/org/whispersystems/textsecuregcm/controllers/AccountController.java,418,"Remove this use of ""REGION_TAG_NAME""; it is deprecated.",MINOR,CODE_SMELL
java:S1066,service/src/main/java/org/whispersystems/textsecuregcm/storage/ReportMessageDynamoDb.java,59,Merge this if statement with the enclosing one.,MAJOR,CODE_SMELL
java:S4276,service/src/main/java/org/whispersystems/textsecuregcm/storage/AccountsManager.java,511,Refactor this code to use the more specialised Functional Interface 'Predicate<Account>',MINOR,CODE_SMELL
java:S3776,service/src/main/java/org/whispersystems/textsecuregcm/push/APNSender.java,81,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,CRITICAL,CODE_SMELL
java:S1125,service/src/main/java/org/whispersystems/textsecuregcm/push/PushNotificationManager.java,60,Remove the unnecessary boolean literal.,MINOR,CODE_SMELL
java:S3776,service/src/main/java/org/whispersystems/textsecuregcm/push/PushNotificationManager.java,103,Refactor this method to reduce its Cognitive Complexity from 21 to the 15 allowed.,CRITICAL,CODE_SMELL
